Source,Target,Type,Id,Label,timeset,Weight,source_airport,dest_airport,codeshare,stops,equipment,airline,airline_name,airline_alias,airline_iata,airline_icao,airline_callsign,airline_country,airline_active,background_map_edge
3382,6399,Directed,109445,,,1,KMG,LZO,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3222,Directed,109446,,,1,KMG,MDL,,0,738,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3121,Directed,109447,,,1,KMG,MFM,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,6401,Directed,109449,,,1,KMG,NAO,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,6949,Directed,109453,,,1,KMG,NYT,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3035,Directed,109456,,,1,KMG,REP,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,3120,Directed,109468,,,2,KMG,VTE,,0,320,QV,Lao Airlines,\N,QV,LAO,LAO,Lao Peoples Democratic Republic,Y,
3382,3396,Directed,109472,,,1,KMG,XIC,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3382,4110,Directed,109475,,,1,KMG,YBP,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6379,3391,Directed,109480,,,1,KOW,SHA,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3125,3382,Directed,109482,,,1,KTM,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3372,4109,Directed,109490,,,1,KWL,CZX,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3372,3389,Directed,109491,,,1,KWL,HFE,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3372,3930,Directed,109492,,,2,KWL,ICN,,0,763 321,OZ,Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,Y,
9848,3404,Directed,109498,,,1,LDS,DLC,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3378,3388,Directed,109506,,,1,LHW,NKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
3378,6347,Directed,109510,,,1,LHW,SJW,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4033,3077,Directed,109516,,,1,LJG,HKG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4033,3391,Directed,109520,,,1,LJG,SHA,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4033,7862,Directed,109521,,,1,LJG,TCZ,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
8845,3382,Directed,109523,,,1,LLF,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
8845,3374,Directed,109524,,,1,LLF,SZX,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6376,3370,Directed,109526,,,1,LUM,CAN,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4097,6375,Directed,109529,,,1,LXA,DIG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4097,3382,Directed,109530,,,1,LXA,KMG,,0,737,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4148,3404,Directed,109532,,,1,LYA,DLC,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4148,3382,Directed,109533,,,1,LYA,KMG,,0,733,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4148,3364,Directed,109534,,,1,LYA,PEK,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
4148,3391,Directed,109535,,,1,LYA,SHA,,0,321,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6383,3386,Directed,109537,,,1,LYG,HGH,,0,EMB,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6383,3077,Directed,109538,,,1,LYG,HKG,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6383,3364,Directed,109540,,,1,LYG,PEK,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6383,3376,Directed,109542,,,1,LYG,WUH,,0,EMB,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6385,3386,Directed,109543,,,1,LYI,HGH,,0,320,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
6385,3364,Directed,109545,,,1,LYI,PEK,,0,319,MU,China Eastern Airlines,\N,MU,CES,CHINA EASTERN,China,Y,
